method,point_index,function_evaluations,gradient_evaluations,RMSD,x
BFGS,11,49,11,0.2150759198211903,"[0.24305057936618837, 0.25005086808459037, 0.2232144148260758, 0.11837160054430988, 0.1081042502599549, 0.18168673886960027, 0.2083938249513048, 0.21868083485612017, 0.35689702717206484, 0.10173680777116609]"
BFGS,12,53,12,0.21094120064588728,"[0.24349677765965286, 0.24938871712873295, 0.22754071819238522, 0.12710587230405782, 0.1026792774745345, 0.17203721915611217, 0.20130513292742128, 0.21443859614416552, 0.37810478527163977, 0.10465919539495155]"
BFGS,13,57,13,0.20676958319401437,"[0.24393708862519664, 0.24873286096168024, 0.23189690969368257, 0.1358427157568585, 0.09729352549498177, 0.1623191005970074, 0.19415329082746977, 0.21021805417478878, 0.3993430411978517, 0.10758509735300661]"
BFGS,14,61,14,0.2011204751365193,"[0.24639767194202575, 0.2498380966008412, 0.24589087950013477, 0.14283417442061438, 0.10339211604084299, 0.13913944926530572, 0.17079258927116442, 0.2000020520874653, 0.4277109720963353, 0.11156188955393695]"
BFGS,15,65,15,0.20055049325078214,"[0.24634566112739056, 0.2506979501363388, 0.24619252986183734, 0.14332288350097613, 0.10447385607236015, 0.13637601331468616, 0.1684581717944792, 0.2007489395605673, 0.4309879984972732, 0.1120179000185786]"
BFGS,16,69,16,0.20018665902988042,"[0.24662145648758385, 0.25121828504860255, 0.24812142370197, 0.1431016525202582, 0.1055980943601991, 0.13424415417625873, 0.16689482770511488, 0.1994831767657612, 0.4320428719540522, 0.11221859197218732]"
BFGS,17,74,17,0.2001271508858062,"[0.24662002418245318, 0.2513959498569438, 0.24821985945047254, 0.14307165598432056, 0.10574641976312849, 0.13390761949780705, 0.16680502413185463, 0.1994757395594767, 0.4322670339033226, 0.11225797578515533]"
BFGS,18,80,18,0.20012015264082822,"[0.2466194773515185, 0.25141617437304903, 0.24823334962932875, 0.14306744698502208, 0.10576676952191932, 0.13385847737294743, 0.16679720210563284, 0.19948025411233705, 0.43229235923263737, 0.11226247134347808]"
BFGS,19,88,19,0.20011981007508253,"[0.24661947153692723, 0.2514163782125581, 0.24823348703422368, 0.1430674040656506, 0.10576697683324494, 0.13385797525653106, 0.16679712463822668, 0.199480302940867, 0.4322926145178884, 0.11226251668662847]"
BFGS,20,94,20,0.20011341829965856,"[0.2466189783457598, 0.251436841532702, 0.24824739176789917, 0.14306303195784978, 0.10578815331383463, 0.1338064228469159, 0.16678955270317702, 0.19948579239377598, 0.4323184512458334, 0.11226710491977554]"
BFGS,21,100,21,0.20010800979305157,"[0.24662155627779095, 0.2514551354027673, 0.24824766776318116, 0.14306310277011192, 0.10579065877868707, 0.13381175749388036, 0.16677070016005388, 0.19946541096244425, 0.4323449611854925, 0.11227153132851764]"
BFGS,22,108,22,0.20003396082968194,"[0.24664970278242943, 0.2516966084046738, 0.24825792589633683, 0.1430628736999817, 0.10582460820508054, 0.13387931169544331, 0.16652532467989872, 0.19919699453524048, 0.43268368500980975, 0.11232825561279428]"
BFGS,23,119,23,0.20003260818109994,"[0.24664972077837158, 0.25169673541599324, 0.24825793070078303, 0.14306287348333094, 0.10582462560679308, 0.13387934649806357, 0.1665251990865673, 0.19919685442798946, 0.43268386098043327, 0.11232828510918708]"
BFGS,24,124,24,0.19973047449349848,"[0.24714456613065827, 0.25346941156092406, 0.24828628161700553, 0.14308789270971786, 0.10598650371453569, 0.13419869367500692, 0.1653702404352244, 0.1981135179317959, 0.43414967333100624, 0.11256400039234847]"
BFGS,25,129,25,0.19966145060151538,"[0.24701470240788068, 0.25383233329369403, 0.24830283689774196, 0.14311579001835498, 0.10604369105967915, 0.1343264955196674, 0.1649140481616545, 0.1978873628007046, 0.43456080116489765, 0.11262380906854462]"
BFGS,26,134,26,0.19959088140144587,"[0.2468847281974847, 0.2541955373893477, 0.2483194059430553, 0.1431437151788735, 0.10610092293850597, 0.1344544097312566, 0.16445745720753818, 0.19766108136421331, 0.43497222973417676, 0.11268365996032727]"
BFGS,27,140,27,0.19958746403892136,"[0.24687744328411626, 0.254238015411675, 0.24832056039878178, 0.14314522209470104, 0.10610606959215284, 0.13446330951265004, 0.16442515324429324, 0.19764325409407896, 0.43500313579459915, 0.11268807731322394]"
BFGS,28,148,28,0.19958585599141576,"[0.24687738182076477, 0.2542380210578415, 0.2483205601743599, 0.1431452201970862, 0.10610607377474347, 0.13446330456456856, 0.16442516931332504, 0.19764320462987534, 0.435003169054218, 0.11268808269242223]"
BFGS,29,166,28,0.19958585599141576,"[0.24687738182076477, 0.2542380210578415, 0.2483205601743599, 0.1431452201970862, 0.10610607377474347, 0.13446330456456856, 0.16442516931332504, 0.19764320462987534, 0.435003169054218, 0.11268808269242223]"
BOBYQA,1,1,0,0.31977291127904045,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
BOBYQA,2,3,0,0.31973349164263776,"[0.25, 0.26, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
BOBYQA,3,10,0,0.31713898469998675,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.26, 0.25]"
BOBYQA,4,14,0,0.3170867278292424,"[0.25, 0.25, 0.24, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
BOBYQA,5,15,0,0.31296987439112534,"[0.25, 0.25, 0.25, 0.24, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
BOBYQA,6,21,0,0.30402765389499875,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.24]"
BOBYQA,7,22,0,0.2854151339167365,"[0.24985936986194196, 0.2500229938744937, 0.2484883268384948, 0.2461703651765432, 0.24686530336701804, 0.2482426185918845, 0.248734658419677, 0.24909812761112432, 0.25153375180156123, 0.23191625917573824]"
BOBYQA,8,23,0,0.24940946005974524,"[0.24952370834266013, 0.2500778448830214, 0.24493008613779876, 0.23747155136478834, 0.23968163214916965, 0.24413164115976138, 0.24575429502978471, 0.246969965624154, 0.2550288042430099, 0.21717103671098614]"
BOBYQA,9,24,0,0.18301695430048387,"[0.24867744899608613, 0.25021599959845875, 0.23615095529236027, 0.2170911397074493, 0.22265054627416342, 0.23408790381811678, 0.23839624967069525, 0.2417025254161862, 0.2631973414646144, 0.19335330935072875]"
BOBYQA,10,25,0,0.0676550497499148,"[0.24590653308714538, 0.250665902201462, 0.21055564250857378, 0.1719885829463324, 0.18259634368332078, 0.20635255598018482, 0.21690149161606587, 0.2261216057882583, 0.2805915900876095, 0.17541394705808191]"
BOBYQA,11,26,0,0.05581957393210863,"[0.23968043276296952, 0.2516540916033139, 0.17127605287759562, 0.13799543406508052, 0.14964845509954744, 0.17129316914776987, 0.1844286247584417, 0.20206241293880658, 0.29210940775848765, 0.179174901595169]"
BOBYQA,12,27,0,0.051890811617258906,"[0.25529316935842183, 0.24923731327230048, 0.21432664786595546, 0.09793136300755373, 0.1318536636360796, 0.1886371447443162, 0.2209240843306418, 0.2326407735007063, 0.30757506023741427, 0.17802129628573088]"
BOBYQA,13,29,0,0.029563098313640138,"[0.24240482300265495, 0.2512083414505691, 0.2146445284329129, 0.13263995638382714, 0.13835781702015704, 0.19297113309173303, 0.21519602296842777, 0.22138715404310735, 0.3005207686932951, 0.1700734404250693]"
BOBYQA,14,32,0,0.028461181648087138,"[0.2352499527078658, 0.2522432057625988, 0.21785858761938937, 0.12383932006042844, 0.15207930925308108, 0.19333369802724687, 0.21348018657471424, 0.21282060040846007, 0.29580460047740337, 0.17026422310790162]"
BOBYQA,15,34,0,0.027334799216503718,"[0.23055878782808423, 0.25358742412348484, 0.21222152904398273, 0.12739617414111143, 0.1534970917478771, 0.19229284744069902, 0.2146012655291216, 0.21797257197689662, 0.2959245372385529, 0.17118667511119945]"
BOBYQA,16,35,0,0.02704189653187572,"[0.23256921943555733, 0.2633647839236051, 0.21252996948642017, 0.12751329652800092, 0.15348760040119233, 0.19234645701303676, 0.21447941572378856, 0.21755534202088095, 0.2957459107720558, 0.17135622520092827]"
BOBYQA,17,36,0,0.023048006031604604,"[0.23816872999331912, 0.26175252537252697, 0.21318779548582234, 0.13275547371172808, 0.15425101635451788, 0.18967928542575196, 0.20990137746763046, 0.21648052957840283, 0.29566163644986077, 0.1742399000769094]"
BOBYQA,18,39,0,0.02212834577561426,"[0.24438980838125096, 0.25804356727039957, 0.21594004149647064, 0.13382444987487405, 0.15336862820785532, 0.1948147627703518, 0.21204959386995464, 0.21857367043316084, 0.29413268341644255, 0.17482191315376203]"
BOBYQA,19,40,0,0.0206990371139641,"[0.23702128246086485, 0.25561683903505616, 0.21959336896114595, 0.1369841937301891, 0.1513151049916978, 0.19350575597633968, 0.21099302114811408, 0.21564742375704687, 0.29327668735925216, 0.17519951330608416]"
BOBYQA,20,41,0,0.019838671280008196,"[0.2303224386572527, 0.25599730528958736, 0.22494511269261327, 0.13498112042039317, 0.15257444691456618, 0.19342913164151362, 0.21200015293272237, 0.21124196149127455, 0.29272411548088634, 0.17511169407470736]"
BOBYQA,21,42,0,0.01893465938555242,"[0.2213564210466193, 0.2655837220426868, 0.23772445150694532, 0.12993471238322196, 0.1540548574642185, 0.1918167895298919, 0.21466815403986034, 0.20621532768937828, 0.2922959391887509, 0.17636609940351955]"
BOBYQA,22,45,0,0.016947953521426362,"[0.21732664032334528, 0.26300187802241465, 0.2421903189595958, 0.1308809420169194, 0.1478256486251614, 0.18868159316368288, 0.2145894313882914, 0.20402962527455212, 0.2936129124566092, 0.17531480674806765]"
BOBYQA,23,46,0,0.015263742930226509,"[0.21637268905444912, 0.2611303864246178, 0.24825754679109546, 0.12940721011604517, 0.14832853937248297, 0.18763983697267753, 0.2092728998153975, 0.19907207398281707, 0.2921970954373185, 0.17466762730783936]"
BOBYQA,24,47,0,0.013987703448457563,"[0.2124044781468812, 0.26039502858697855, 0.25517735143617076, 0.12806739303009806, 0.14664881676430536, 0.18694985490376692, 0.20894987544077842, 0.19354834997292863, 0.29200602241407536, 0.17495714589759137]"
BOBYQA,25,48,0,0.01286855744481878,"[0.2077597899802823, 0.26411275035184495, 0.26118348283018294, 0.12865849780529792, 0.14683017818152297, 0.18464025077346774, 0.20431902945917807, 0.19424428390885384, 0.29156900673939534, 0.17412336350035046]"
BOBYQA,26,49,0,0.012082070366059313,"[0.20449552728688128, 0.2695299187997412, 0.2620633252790407, 0.12843354531542517, 0.1486077969579337, 0.18220861197963453, 0.20659487862987397, 0.18781404798822954, 0.289737081600273, 0.17459024659295586]"
BOBYQA,27,50,0,0.011825900830345999,"[0.19926776273304464, 0.2745280180290858, 0.26700089754885903, 0.12659708441364648, 0.14727888863104188, 0.18582240790023344, 0.20574950040078066, 0.18594595053052032, 0.29066687802523855, 0.17438341054868225]"
BOBYQA,28,52,0,0.010747871233710932,"[0.19389717363325587, 0.27399963557870133, 0.27050777747766996, 0.12697465193284335, 0.15032466915467818, 0.1806282952221827, 0.20478003619161034, 0.18175369054434232, 0.28875582349732853, 0.17426424227672865]"
BOBYQA,29,53,0,0.009843288215015,"[0.19556935001126655, 0.27741514614116564, 0.2773739801735907, 0.12600812450960408, 0.14874701256130596, 0.17957626042622107, 0.20435809492375132, 0.17597098255588503, 0.28827892147537787, 0.17412918729970212]"
BOBYQA,30,54,0,0.009413057148059135,"[0.18919698576718302, 0.2822556699500541, 0.27629962425981774, 0.12687755313686694, 0.1504563743845619, 0.18072656264146483, 0.2000175664158051, 0.17337152861043506, 0.28623365944699974, 0.17429227651520413]"
BOBYQA,31,56,0,0.009097465078865755,"[0.19018883007995557, 0.28144825978276977, 0.2775700536350986, 0.1245364903155449, 0.15055615601840017, 0.1820094202716141, 0.20088735423838897, 0.17512153011321205, 0.2772104284852916, 0.1722003026692909]"
BOBYQA,32,57,0,0.008995987154644995,"[0.18744175679310926, 0.2771685972491273, 0.2829698193354443, 0.12308949655617171, 0.14811846373890247, 0.18175537156865967, 0.20205952859068715, 0.1709367770430908, 0.28120491922505914, 0.1736278266667699]"
BOBYQA,33,67,0,0.008979912557504811,"[0.18938568788407956, 0.27840475953310373, 0.2885158209601216, 0.11823284770694895, 0.14952085661654324, 0.17948583970214022, 0.20776245477553373, 0.17025798206926945, 0.2816771037289702, 0.17347520266072752]"
BOBYQA,34,68,0,0.008645464550539373,"[0.18462993455484428, 0.2800535004467031, 0.29569496020692104, 0.11682051210560088, 0.14939945020196804, 0.17840278186016612, 0.20764509963126165, 0.1658188949350904, 0.2812106961054357, 0.17340326655750937]"
BOBYQA,35,71,0,0.008396322358179054,"[0.18051620618196856, 0.28416889459032185, 0.29172803065621533, 0.12012718608743303, 0.15043962882061687, 0.17465455372038172, 0.2067063092578852, 0.1614215016227385, 0.2791814190173278, 0.1733522716662882]"
BOBYQA,36,72,0,0.008369214743160075,"[0.18346424085450566, 0.2867462212605118, 0.2860572570592016, 0.12413127542715607, 0.15096671797797948, 0.17548953231963402, 0.2047355946498477, 0.16701993032376114, 0.2796529909818473, 0.1731230079969706]"
BOBYQA,37,75,0,0.008328757412367611,"[0.18418096736367304, 0.2875366795905256, 0.28723408329046246, 0.12492202838450982, 0.15098360483796422, 0.17501468286787505, 0.20339891873783222, 0.1667049036489377, 0.27876214327288107, 0.1726803485190849]"
BOBYQA,38,76,0,0.008300824111824787,"[0.18310175509012608, 0.28863793626161777, 0.2878520411138425, 0.12366237999639512, 0.15141445947428187, 0.17624878449977777, 0.2032737800456933, 0.16637547438093828, 0.2786171007090861, 0.17290414629419804]"
BOBYQA,39,77,0,0.008299401023591668,"[0.18268066284950485, 0.28806066443834094, 0.28746554972676236, 0.12486163389153021, 0.1512797185847403, 0.1751776557002116, 0.20418700785431126, 0.16491435144634317, 0.27874938967053287, 0.17290021853056614]"
BOBYQA,40,78,0,0.008210214918609699,"[0.18233881273871824, 0.28797002844517433, 0.2874149177769981, 0.12469816862273263, 0.1512774134408805, 0.1749755858788426, 0.20427301870742462, 0.16511234572708594, 0.27792100145624243, 0.17263193702165022]"
BOBYQA,41,79,0,0.008180474225919712,"[0.1821268913856016, 0.2878525958420618, 0.28767040258138815, 0.12445950380328033, 0.15076316255637082, 0.17478264369830246, 0.20483656384062485, 0.16546732616184456, 0.27765580688060737, 0.17269077999989843]"
BOBYQA,42,80,0,0.008175874796680638,"[0.18203595288577093, 0.28719207125238505, 0.2882201077755412, 0.12416161499381649, 0.15087334748964382, 0.17446127242337703, 0.2049631980748432, 0.16532246946562507, 0.27755901420622214, 0.17274288741779964]"
BOBYQA,43,81,0,0.008144938787571897,"[0.1820741947958096, 0.28681787522807317, 0.2887399941679051, 0.12385128358734876, 0.15065568256170098, 0.1742974313471714, 0.20496715655723308, 0.16467759526751521, 0.2775162871973493, 0.17274164986618343]"
BOBYQA,44,82,0,0.008130076981006098,"[0.18197586591099113, 0.285670100652443, 0.2899690551961745, 0.12336528139668478, 0.15045838583565382, 0.1739294928418948, 0.20507153137878126, 0.1638351285600887, 0.27734873738796467, 0.17268566882910694]"
BOBYQA,45,85,0,0.008119272098071117,"[0.18162853376802665, 0.2856415161174528, 0.28967759353120404, 0.12311611335353277, 0.15044608830931105, 0.17384885047304258, 0.2046262696436615, 0.16323052332942392, 0.27694795762025154, 0.17266506906643753]"
BOBYQA,46,86,0,0.0080866847046951,"[0.18101261477159886, 0.28541439348956577, 0.29011215973702115, 0.1232541253082197, 0.15076958492892215, 0.17364134535468528, 0.20497237055147474, 0.1629843665616245, 0.2767801203551111, 0.17273512074400196]"
BOBYQA,47,87,0,0.008080584079179597,"[0.18105548910815808, 0.28502085124119186, 0.29053385920654473, 0.12296624818363479, 0.15091139401599624, 0.17350985142448802, 0.2053630775345763, 0.1623590589971293, 0.2767938897673093, 0.1726986372665548]"
BOBYQA,48,91,0,0.008047467787199369,"[0.18061746106516835, 0.2852394901469108, 0.29069618627937144, 0.12314374105147037, 0.15091085599924514, 0.173241261153944, 0.2056465903075925, 0.16166985723424632, 0.2765391392238894, 0.1725983514696259]"
BOBYQA,49,94,0,0.008023581347012873,"[0.18047743252005452, 0.2852800388363171, 0.29070192062177863, 0.12335772488308129, 0.1509700010580429, 0.17247813348118754, 0.20575810468728362, 0.16156900533830462, 0.27596975069739293, 0.1725824138204455]"
BOBYQA,50,95,0,0.007990065766524095,"[0.1798786403399638, 0.2856685190530279, 0.29054897498002336, 0.12352763233256281, 0.15114315408693352, 0.1724063842421053, 0.20551475856000923, 0.1610351834539552, 0.2757347958409458, 0.17252114976569505]"
BOBYQA,51,96,0,0.007931959685948705,"[0.17920317651643122, 0.28615047995637677, 0.2901384993447223, 0.12434239067187454, 0.15107578716748143, 0.1716659480752015, 0.2060937074626005, 0.15981513543131162, 0.27543035252680664, 0.1724212891022674]"
BOBYQA,52,97,0,0.007834519282395978,"[0.17756138509275476, 0.2884299965627228, 0.29046507813724093, 0.12532025180280243, 0.151452056087374, 0.17012141239235923, 0.20588391794265098, 0.1583742764088223, 0.27391048454020395, 0.17212429579306113]"
BOBYQA,53,98,0,0.007736151168487564,"[0.17461544471453294, 0.29344734568270026, 0.288482914798495, 0.12867881177646312, 0.1514605120163174, 0.16698735872057616, 0.20756791343856165, 0.15748643559894857, 0.2727044109666755, 0.1719302159665977]"
BOBYQA,54,105,0,0.00766705710852906,"[0.17479130038108767, 0.29307999768931897, 0.2878754147614328, 0.12889223243623454, 0.15146384256280823, 0.16666141078201596, 0.20760048684213345, 0.15706663642396962, 0.27235254148642485, 0.17181990773030184]"
BOBYQA,55,106,0,0.007597520140024181,"[0.1745724159463047, 0.29236130048000164, 0.2867376098699603, 0.12976437308321853, 0.15148940367239092, 0.16632486783771233, 0.20722183340783354, 0.1562426887341277, 0.2717134495376319, 0.17163092787753906]"
BOBYQA,56,107,0,0.007498641606912071,"[0.1733453934412993, 0.2918779500893613, 0.28622518879456005, 0.13089067852672837, 0.15256382797434714, 0.165248512150999, 0.20631509297794567, 0.15378440594031534, 0.2698452709436212, 0.17138334767666893]"
BOBYQA,57,110,0,0.007496129850731616,"[0.17301835308872154, 0.29321193363256226, 0.28598003814380746, 0.1317640240723359, 0.15251392525323407, 0.16451906751184434, 0.2060908792254431, 0.15321105085792, 0.26925213418772936, 0.17122428039850585]"
BOBYQA,58,112,0,0.007440224474696327,"[0.17264821612017023, 0.29308241553305575, 0.285555985508833, 0.13184036935592092, 0.15279840066697117, 0.16461275682838653, 0.20662755350439801, 0.15343406496302053, 0.268770664256399, 0.17126037236799455]"
BOBYQA,59,113,0,0.007390134845734919,"[0.1721914323251994, 0.29313265987685716, 0.2841816774997951, 0.13300292394339985, 0.15299275878489046, 0.16403248714022003, 0.20659230439157886, 0.15339318640644747, 0.2683965183412548, 0.17108378899724028]"
BOBYQA,60,114,0,0.007298373538002088,"[0.17195875505080896, 0.29414349126101597, 0.28158312405835023, 0.13506723336136744, 0.15360671447423763, 0.16344095852672216, 0.20550578927289406, 0.1541881079801378, 0.2672620212980576, 0.17079416649105947]"
BOBYQA,61,115,0,0.007254303570937161,"[0.17173312572329508, 0.2949485576568169, 0.2786761549242911, 0.13724076399053714, 0.1535443253539515, 0.16252126666960848, 0.20586504544386797, 0.15524684626747404, 0.26742478432163114, 0.17078742194231233]"
BOBYQA,62,116,0,0.007129392165380124,"[0.17197639206733567, 0.2943002918015445, 0.2767802309004798, 0.13827775232844605, 0.1547738434819948, 0.16289103911100408, 0.20311146332467214, 0.1552714508931801, 0.26617829496056467, 0.17053110561020385]"
BOBYQA,63,117,0,0.00691443949051977,"[0.1723290787534051, 0.2944763229437577, 0.2714993596002805, 0.14178784312785206, 0.15602801683828196, 0.1621779967542578, 0.19975686546582058, 0.15781988486160337, 0.2642506264801945, 0.1702291825029004]"
BOBYQA,64,120,0,0.0068793703409224475,"[0.16958652963351817, 0.2961532968242225, 0.2701629366606599, 0.14509872267644686, 0.15646894679721954, 0.15705312828012735, 0.20072945834859146, 0.15701116008353733, 0.260710453597284, 0.16965757036044277]"
BOBYQA,65,122,0,0.006814239345835675,"[0.1699628867898335, 0.29899206856343097, 0.2701191801097685, 0.1457818438990543, 0.15602131834123337, 0.15813775184905104, 0.19860279210605536, 0.15598673977258543, 0.2601088063363014, 0.1697998933553663]"
BOBYQA,66,123,0,0.006625091355390722,"[0.17129027786164527, 0.2974282543130204, 0.2677262181850173, 0.14663927226066706, 0.15614505230920733, 0.15767756391669036, 0.1986367232141823, 0.1580542747817315, 0.25923330711129594, 0.1695516323857588]"
BOBYQA,67,128,0,0.006483920610614329,"[0.17088979037529856, 0.2973961522301299, 0.2671696719172091, 0.14640658875037396, 0.15586419761211576, 0.15809429674909176, 0.19880787478112652, 0.15769772081957778, 0.2589796232725878, 0.16951463003334996]"
BOBYQA,68,129,0,0.0063895722338079925,"[0.17025580735914048, 0.297162709045814, 0.2659369403833119, 0.14672816516911558, 0.15597812973280578, 0.15885094895520255, 0.19901731288918584, 0.1566278077405103, 0.25861773251778164, 0.16939019104530437]"
BOBYQA,69,130,0,0.0062671684018254115,"[0.169755784782349, 0.29553365681326305, 0.2642559674191295, 0.14813518724620184, 0.15679340966032068, 0.15813915288947064, 0.19724019194992795, 0.155381792140564, 0.25707805534684797, 0.16919492067774577]"
BOBYQA,70,131,0,0.006072236439564292,"[0.16901411614539769, 0.292906175443337, 0.26094503900180516, 0.15090022434773545, 0.15901598252346946, 0.15823839589402186, 0.19348779208962716, 0.15239585518802265, 0.2539567680891225, 0.16869476622278556]"
BOBYQA,71,132,0,0.005653386110114847,"[0.16761354795058023, 0.2858195533475349, 0.2532798723978124, 0.15615599247742926, 0.1625501865702799, 0.15752040083566296, 0.18645013718415232, 0.148018117347176, 0.24806786679286572, 0.16766429569638744]"
BOBYQA,72,133,0,0.005600573393724314,"[0.17022423104165607, 0.2643395258105663, 0.24847257963827193, 0.1568881344736656, 0.16991462798664453, 0.16397869373124227, 0.1688107079021673, 0.13939389643956995, 0.24100597682864, 0.16676698348420646]"
BOBYQA,73,137,0,0.005103643365365793,"[0.1722232675023646, 0.2633332138702202, 0.24232220117403883, 0.16056600106591312, 0.16962110751311152, 0.16558844368457967, 0.16977167430946916, 0.14137833932605628, 0.24069993215602337, 0.16669807009056545]"
BOBYQA,74,140,0,0.005006996400356595,"[0.17206588623102226, 0.26166375008072196, 0.24128161550358818, 0.161030599006655, 0.16951097675109092, 0.1662151643387499, 0.16760306299920716, 0.14374365246240822, 0.23962952855058411, 0.1664950939410886]"
BOBYQA,75,141,0,0.0049103121884547215,"[0.1730227936032502, 0.25982204254165303, 0.239673776490648, 0.16158847147685043, 0.17065499490362732, 0.16700390478027438, 0.1657626281233956, 0.14215551845238716, 0.23868001803636757, 0.1662621900187253]"
BOBYQA,76,144,0,0.004857174163119792,"[0.17417325920468632, 0.25892298160934374, 0.23767431499736172, 0.1627376108047977, 0.1707147265371887, 0.16808798030545188, 0.16334145245144424, 0.14323393166156073, 0.23926665542188, 0.16622031922758285]"
BOBYQA,77,148,0,0.004792512348014747,"[0.17373062758232796, 0.25917599954210324, 0.23721598741817312, 0.16244575772124697, 0.17028857993110966, 0.1684460896283791, 0.16330453510377654, 0.14287703263048926, 0.23932169282823998, 0.1662769287523126]"
BOBYQA,78,149,0,0.004765934264439683,"[0.17396767734649535, 0.25891313651354997, 0.2369085405065774, 0.16271935169545004, 0.17016933629643546, 0.16862253076286243, 0.164042038515625, 0.1425372519956384, 0.2393178807054833, 0.16630154497505797]"
BOBYQA,79,150,0,0.004755666886275584,"[0.17330012707780734, 0.25877189055794797, 0.23689776002194912, 0.16294616005904441, 0.16993255790384032, 0.1686222179618182, 0.16390314069587908, 0.14302472741849484, 0.2389189155135291, 0.1661980764073634]"
BOBYQA,80,153,0,0.004742575196227595,"[0.17371514262060953, 0.2595829740941641, 0.2367861363327637, 0.16302160440993174, 0.17003545311407617, 0.16881745644145013, 0.16374466538966023, 0.1429081140733465, 0.2386721571521004, 0.1661393769495945]"
BOBYQA,81,155,0,0.004709475581875487,"[0.1740559445975018, 0.25946048376786207, 0.2362516114034843, 0.16314757716771142, 0.17003717374524496, 0.16927588930215504, 0.1634171203437448, 0.1434074650995225, 0.2386935267429382, 0.1661419429932265]"
BOBYQA,82,156,0,0.004682798429659997,"[0.17406080500930457, 0.2593594712950296, 0.23607380853428833, 0.16276234002660825, 0.17033487623301158, 0.1697730169028804, 0.16365192457450933, 0.14395246895388394, 0.23902164246464994, 0.16626096636923382]"
BOBYQA,83,157,0,0.004662026267043056,"[0.1744880848519438, 0.25886453599550785, 0.23548931390502215, 0.16301885814891304, 0.17027879480496105, 0.16993646484625, 0.16341704991606515, 0.14422320243059777, 0.23909391336745273, 0.1662223748429495]"
BOBYQA,84,158,0,0.004616008647628513,"[0.17450282928047148, 0.25891699092938636, 0.23477140243998154, 0.1631185753537494, 0.1703747848503509, 0.17042343069022953, 0.1631968356546753, 0.14464068804447316, 0.23906060473248283, 0.16618439006613733]"
BOBYQA,85,159,0,0.0045603702615541475,"[0.1742550714806172, 0.2595350761444196, 0.2336734015043316, 0.16353472882853198, 0.17062418337146332, 0.17070248238421656, 0.1623955121989502, 0.14579608122833787, 0.23882094542640384, 0.16612748464416144]"
BOBYQA,86,160,0,0.004517537889162002,"[0.17482194658101977, 0.25901836304784165, 0.23230168606756263, 0.16376836924506719, 0.17070049247777308, 0.17165824677113345, 0.1621781362140498, 0.14650152149675444, 0.23890261807090254, 0.16619524715356304]"
