method,point_index,x
BOBYQA,13,"[0.246019706697824, 0.2506327710752997, 0.18945360854779797, 0.09440768236377658, 0.17339092498485112, 0.17541234300843245, 0.1816091522242636, 0.22264746673604152, 0.24806867907591745, 0.24955799116420285]"
BOBYQA,14,"[0.24635871696923217, 0.25058719511188937, 0.1996341375567602, 0.09488138868849175, 0.15781509335503155, 0.17935191544475199, 0.18756842808294819, 0.22278466897558294, 0.24670581471851163, 0.24885125792568752]"
BOBYQA,15,"[0.24553355808685373, 0.25068668376118924, 0.20081542679620396, 0.08920741354997846, 0.1587436414156907, 0.1818967469096141, 0.1873899726461538, 0.2167163921910698, 0.24335616695822668, 0.25206146639367355]"
BOBYQA,16,"[0.25369062095452566, 0.24971988566574108, 0.2003757733177552, 0.09037956336717401, 0.15807436612210995, 0.182475553999438, 0.18909762903495175, 0.21251282676923366, 0.24640320484710573, 0.25150742949917104]"
BOBYQA,17,"[0.24897874107332726, 0.2473036681717909, 0.20208519491913585, 0.09014075559723056, 0.15799257116404486, 0.18226634726546911, 0.1883546701995468, 0.20885694543678973, 0.2538102083968439, 0.2511210177520921]"
BOBYQA,18,"[0.24904914694703773, 0.23777003603037583, 0.20069601336295745, 0.08977005132594892, 0.15714034418367118, 0.1820497073492472, 0.18793579351262665, 0.20942845934749837, 0.2514359228734785, 0.25147473076787435]"
BOBYQA,19,"[0.24900544607728542, 0.23674835475480027, 0.1984300195886479, 0.08240593959952411, 0.15287254727074895, 0.1789267359505523, 0.1850833445505748, 0.20756380569972124, 0.2515019173804875, 0.25154250887197344]"
BOBYQA,20,"[0.2500752679207737, 0.23297753412474198, 0.20295838400600236, 0.0794768672282376, 0.14704100659832003, 0.17993240506651964, 0.18138927572188734, 0.20515257590964078, 0.2524158325663905, 0.25202953267308303]"
BOBYQA,21,"[0.2503474498511016, 0.2256798652979854, 0.20199376549654033, 0.0782990145366991, 0.15016953678351413, 0.180709659269279, 0.17662623353486423, 0.20362186054635695, 0.2501605583339828, 0.25006882530518443]"
BOBYQA,22,"[0.2503624863841543, 0.22462736661901297, 0.19991620716816702, 0.07086833775005216, 0.14584918938643116, 0.17814376043444485, 0.17345084847955905, 0.2016147610337003, 0.250167506791978, 0.25007180384718986]"
BOBYQA,23,"[0.2498399856770927, 0.2268770879836523, 0.19697972046249312, 0.06860780400631936, 0.1406682225374588, 0.17612466917198955, 0.17405929560960093, 0.20156765377206148, 0.249630593819381, 0.24304663977416782]"
BOBYQA,24,"[0.25270711643020116, 0.22848235377176646, 0.1998630048489108, 0.06748268425690962, 0.1418578528024849, 0.1767672011924783, 0.1692710023143491, 0.19957852758148217, 0.2567639621226753, 0.242885168129747]"
BOBYQA,25,"[0.2530557242412244, 0.22894036699979858, 0.19513141405303122, 0.07282971706513672, 0.13852583653930672, 0.17627589153709333, 0.167484997347019, 0.19434149058478437, 0.2571906494973381, 0.2454440419534764]"
BOBYQA,26,"[0.25360638714896555, 0.22695553248388184, 0.19386282338806476, 0.06638905569362868, 0.13549073457395353, 0.17371940531324653, 0.16300231848587898, 0.19142428056600147, 0.25812347746219444, 0.24817233872951858]"
BOBYQA,27,"[0.253358965461435, 0.2271215191198676, 0.19218925396406267, 0.06406721545248115, 0.13360420451097002, 0.1722816716635803, 0.16199622819965254, 0.1904822318927682, 0.25805429164936156, 0.24514101551127765]"
BOBYQA,28,"[0.25266483842648585, 0.22758875633218156, 0.1887144064258096, 0.0594274141984642, 0.12994962020501102, 0.16941797361593847, 0.16009233834097228, 0.18855861046787864, 0.2578910060700924, 0.23907561982444941]"
BOBYQA,29,"[0.25127349920816133, 0.22876927123746804, 0.1806257731770672, 0.050437689257872675, 0.12273855591634694, 0.16372927611319182, 0.15730884962049427, 0.18518262404532815, 0.2568954796891393, 0.22699536637564527]"
BOBYQA,30,"[0.2428870054372897, 0.22906169512456176, 0.1670302851518123, 0.031057162717341213, 0.10849794926828507, 0.1503871664484326, 0.14983516999437818, 0.16971785539814307, 0.2637471400050506, 0.21129912054080974]"
BOBYQA,31,"[0.23007908122149298, 0.2526494469895286, 0.16518910447515942, 0.027373123448588513, 0.11466838786457838, 0.1295511603214038, 0.1366455266249479, 0.16406960685381444, 0.2506431033305081, 0.21487882762744914]"
BOBYQA,32,"[0.23192748998624219, 0.24214496568508534, 0.16858294561471107, 0.028108709325407745, 0.11883379053658151, 0.12316241630910102, 0.12810967474319018, 0.16397393322452455, 0.2515923166993375, 0.2141426169208401]"
BOBYQA,33,"[0.23755068881517233, 0.23967262008318044, 0.16271864931560132, 0.02747271623585007, 0.11564875240985248, 0.11106877476661375, 0.1368501261454357, 0.16858841462418744, 0.2601371440765467, 0.21475010850538773]"
BOBYQA,34,"[0.23948227913623718, 0.24103195866438118, 0.16440238538355353, 0.02498305133701833, 0.1083798908777979, 0.11221665081966405, 0.13232386267370527, 0.16949495263376224, 0.26309880155198795, 0.21582412173282867]"
BOBYQA,35,"[0.23805930475703446, 0.23957857094819146, 0.16320193464207033, 0.024887208710807025, 0.10617995401363639, 0.11146601235430953, 0.1334264141933814, 0.1682048540567409, 0.2605541205540238, 0.21798143125755984]"
BOBYQA,36,"[0.2415524674434425, 0.23853576911998228, 0.16253233088832186, 0.02434151231677613, 0.10604572211809554, 0.11261611087704128, 0.134986094968701, 0.1658231457119842, 0.2599557666723497, 0.2169042524840929]"
BOBYQA,37,"[0.24120419077142247, 0.2381535600005718, 0.1628040038045864, 0.02349573257939897, 0.1058128555196892, 0.11244846825427554, 0.13545776461208092, 0.1668792981501739, 0.2588855732426251, 0.21528317416786333]"
BOBYQA,38,"[0.2407974054991923, 0.23776345613287786, 0.16188152109870507, 0.02535388301788721, 0.10513576985268085, 0.11291425579765521, 0.13550674680076352, 0.16708592813956338, 0.25915898558863715, 0.2143702695914196]"
BOBYQA,39,"[0.24076482430129345, 0.23769312694950287, 0.16160862082465294, 0.024865688264361637, 0.10478147718964591, 0.11241821784369663, 0.13509366651052201, 0.1668212647867466, 0.2592142624996751, 0.21411361983336463]"
BOBYQA,40,"[0.24061400040186756, 0.23805424227334085, 0.1608275384972265, 0.02470844930299461, 0.10513547419373993, 0.1125419940144122, 0.13522083094559134, 0.1669310407765524, 0.2590273835994737, 0.21420447398512613]"
BOBYQA,41,"[0.24052982351525645, 0.23835242446840457, 0.16064605232816337, 0.024598239146773407, 0.10518110573149012, 0.11168235508091467, 0.1349413469963802, 0.16690075688908554, 0.258903870255107, 0.21435800851233844]"
BOBYQA,42,"[0.2400306615873942, 0.23840885656474664, 0.16093436211606527, 0.02465769007210385, 0.10521805829090465, 0.11150253278599308, 0.135424648906018, 0.16637153761181334, 0.25914551327901225, 0.21412295710890442]"
BOBYQA,43,"[0.23955238734389278, 0.23819575077777203, 0.16101409781001177, 0.024302707726193723, 0.10507129277486264, 0.11149472703561922, 0.1354190908474344, 0.16630113386952133, 0.25846459379779146, 0.21444425052538876]"
BOBYQA,44,"[0.24006955542877975, 0.23799699830242105, 0.16089774219282202, 0.02441044102120403, 0.1048473879045691, 0.11144346101106649, 0.13576091582200547, 0.1661572111119432, 0.25794875921710836, 0.213984376032969]"
BOBYQA,45,"[0.24023506867688904, 0.23779826785926542, 0.16024134648287383, 0.02409497606901559, 0.10490696320924306, 0.11188566372769586, 0.1354662897945654, 0.16592361051334933, 0.2581967157034492, 0.21401247402608925]"
BOBYQA,46,"[0.2400839680496475, 0.23792186215548808, 0.1599623122804366, 0.023734381283841737, 0.10466287372250616, 0.1111759974098508, 0.13516729579529088, 0.16565998163816717, 0.258214527798873, 0.21383475644460248]"
BOBYQA,47,"[0.2405564430808651, 0.23793022445059808, 0.16018409230998545, 0.023755655439615966, 0.10402319327207823, 0.11074708601734941, 0.1349810050801872, 0.16597355666893915, 0.2582428980442283, 0.2138267574990682]"
BOBYQA,48,"[0.24047401103545915, 0.23821641902245866, 0.1599971708981983, 0.023632191353269556, 0.10404762917114996, 0.10988388925649736, 0.1347064515000922, 0.16592731125375468, 0.25810954815609843, 0.21396856148203122]"
BOBYQA,49,"[0.24089820239093798, 0.23820505081063847, 0.16005495709011294, 0.02409551989281729, 0.10374715200581247, 0.10962044238810871, 0.1345559235712424, 0.16584177690523122, 0.2583338897395611, 0.2133669593123236]"
BOBYQA,50,"[0.2413990891430819, 0.23827076497940505, 0.16021355797536183, 0.024054245607879512, 0.10306464732894069, 0.10952258995029863, 0.13463987449640535, 0.16603609765886662, 0.25818200462405205, 0.21378489611038237]"
BOBYQA,51,"[0.241315295459798, 0.23800010312612724, 0.15984757648357925, 0.02375965854440279, 0.10288634933012776, 0.10923004038818465, 0.1351160465087174, 0.16644399462255505, 0.25857611140103537, 0.21360273822037149]"
BOBYQA,52,"[0.2407905713673272, 0.23822535791158686, 0.1598893214319412, 0.02336118034814499, 0.10238286212352969, 0.1091434955798477, 0.1349284852268859, 0.16674917013069226, 0.2582383743168028, 0.2135025865330733]"
BOBYQA,53,"[0.24109058818970308, 0.23830635088978208, 0.15978700169195137, 0.023491804088660702, 0.10188987515295873, 0.10869128306416234, 0.13491698601928545, 0.16654319854692282, 0.2576506607606566, 0.21330158381834646]"
BOBYQA,54,"[0.24108618297145445, 0.23831064874015623, 0.1594355302125378, 0.023072161941541828, 0.10146954442453343, 0.10839197996799792, 0.13465351361184716, 0.16628619580299944, 0.2574869031286033, 0.2127802533631635]"
BOBYQA,55,"[0.2410689043321775, 0.2383175282307381, 0.15873186302226658, 0.022235660645284466, 0.10062936662570088, 0.10779431004584838, 0.13412106522456718, 0.16576753976947042, 0.2571523813679783, 0.21174234491639587]"
BOBYQA,56,"[0.24100535502150194, 0.23832671372091122, 0.15732579294738278, 0.020567071693201842, 0.0989588995808724, 0.1066090437211411, 0.1330289062159358, 0.16469987406617365, 0.2564624275833724, 0.2096855073005348]"
BOBYQA,57,"[0.24157920214096287, 0.2388722185075536, 0.15519951177567226, 0.017117600277556697, 0.09536775548082645, 0.10406757019904364, 0.13050600089015618, 0.16223185211975719, 0.25447359951319454, 0.20634093333239958]"
BOBYQA,58,"[0.24633400391295682, 0.24141939298406243, 0.15586715122984787, 0.011881920062946746, 0.08917933701440744, 0.09844675621103122, 0.12578501492650412, 0.1570009976292787, 0.24573559200726178, 0.20456518639147953]"
BOBYQA,59,"[0.24443171012062986, 0.2410820071436294, 0.15471385819472963, 0.011937731690535065, 0.08868807502366019, 0.09905237040211323, 0.12799585374368597, 0.15545978389706386, 0.2444548627095771, 0.20500370854481303]"
BOBYQA,60,"[0.24655590606104555, 0.24093702829373786, 0.15154791371769163, 0.010053130056074312, 0.0927630201993473, 0.09433953029365846, 0.12980766160695825, 0.15587753996578935, 0.24270737063101164, 0.2042521046040508]"
BOBYQA,61,"[0.24458060197211734, 0.24186138907775945, 0.1535352402839436, 0.00963244992297457, 0.09249751039071658, 0.09494895802846945, 0.12877920793797612, 0.15609749148726765, 0.24121588436874172, 0.20242323398864587]"
BOBYQA,62,"[0.24486515414549906, 0.2427012268314161, 0.1532001140532891, 0.010786926581333626, 0.09231335613566384, 0.09496157924313979, 0.1282737437204637, 0.1549749089071457, 0.2416142106872664, 0.2021779688303657]"
BOBYQA,63,"[0.24497434823435507, 0.24283459534670232, 0.1529761907909115, 0.010412001242980218, 0.09198132306272457, 0.09449669914351307, 0.1280921253425712, 0.1546594337903413, 0.2411455114131847, 0.20186011573422571]"
BOBYQA,64,"[0.24432361146595394, 0.24271968152257284, 0.1530114241572846, 0.010398099972039858, 0.09151088718730317, 0.094669783973198, 0.12844127290917862, 0.15423226905864612, 0.24111624084495167, 0.20193362129352335]"
BOBYQA,65,"[0.2441148133493362, 0.2432415034708922, 0.15313434900516654, 0.010905027357716207, 0.09127208960708141, 0.09443517036932711, 0.12795990057674592, 0.15435222304245003, 0.24134545977119193, 0.2019697029221406]"
BOBYQA,66,"[0.24420424784216738, 0.24338744924041603, 0.15293761212625753, 0.010532802429382026, 0.09095809305749891, 0.09401357867515547, 0.12775416080034252, 0.15399170302366552, 0.240863271010756, 0.20163458864748188]"
